config_id,approach,step_dist,add_dist,confirm_dist,max_adds,add_size,cycle_count,win_count,loss_count,win_rate,gross_pnl,net_pnl,total_costs,npf_gross,npf_net,avg_win_net,avg_loss_net,max_drawdown_ticks,profit_per_dd,max_position,avg_cycle_duration_bars,cycles_0_adds,cycles_1_add,cycles_multi_add,pnl_0_adds,pnl_1_add,pnl_multi_add,flatten_reseed_would_fire,incomplete_cycles,incomplete_unrealized_pnl
B_SD40_AD16.0_MA2,B,40.0,16.0,0.0,2,1,394,394,0,1.0,94547.0,91183.0,3364.0,999.0,999.0,231.4289,0.0,0.0,999.0,3,28769.43,127,87,180,19844.0,21601.0,49738.0,120,59,-96509.0
B_SD40_AD16.0_MA3,B,40.0,16.0,0.0,3,1,488,488,0,1.0,111869.0,107093.0,4776.0,999.0,999.0,219.4529,0.0,0.0,999.0,4,24287.94,161,101,226,25158.0,25072.0,56863.0,154,59,-120379.0
B_SD40_AD16.0_MA4,B,40.0,16.0,0.0,4,1,654,654,0,1.0,137277.0,130201.0,7076.0,999.0,999.0,199.0841,0.0,0.0,999.0,5,21080.16,210,124,320,32816.0,30810.0,66575.0,210,59,-131972.0
B_SD40_AD20.0_MA1,B,40.0,20.0,0.0,1,1,311,311,0,1.0,65421.0,63401.0,2020.0,999.0,999.0,203.8617,0.0,0.0,999.0,2,35289.43,117,194,0,18347.0,45054.0,0.0,75,59,-64437.0
B_SD40_AD20.0_MA2,B,40.0,20.0,0.0,2,1,433,433,0,1.0,90760.0,87308.0,3452.0,999.0,999.0,201.6351,0.0,0.0,999.0,3,25669.37,165,106,162,25767.0,24601.0,36940.0,98,59,-92620.0
B_SD40_AD20.0_MA3,B,40.0,20.0,0.0,3,1,561,561,0,1.0,107383.0,102223.0,5160.0,999.0,999.0,182.2157,0.0,0.0,999.0,4,22052.53,196,146,219,30604.0,33903.0,37716.0,146,59,-112641.0
B_SD40_AD20.0_MA4,B,40.0,20.0,0.0,4,1,655,558,97,0.8519083969465648,109133.0,102625.0,6508.0,1400.141,51.8548,187.5323,-20.8041,62.0,1655.2419,5,21573.21,231,149,275,36100.0,34599.0,31926.0,176,59,-127128.0
B_SD40_AD40.0_MA1,B,40.0,40.0,0.0,1,1,426,426,0,1.0,68252.0,65836.0,2416.0,999.0,999.0,154.5446,0.0,0.0,999.0,2,28098.92,248,178,0,38745.0,27091.0,0.0,33,59,-60629.0
B_SD40_AD40.0_MA2,B,40.0,40.0,0.0,2,1,536,431,105,0.8041044776119403,69090.0,65530.0,3560.0,999.0,53.0079,154.9652,-12.0,38.0,1724.4737,3,24781.34,287,144,105,44845.0,21945.0,-1260.0,39,59,-78104.0
B_SD40_AD40.0_MA3,B,40.0,40.0,0.0,3,1,658,513,145,0.7796352583586627,60830.0,56110.0,4720.0,3.8334,3.39,155.1404,-161.9103,1225.0,45.8041,4,24619.16,348,165,145,54406.0,25181.0,-23477.0,67,59,-71123.0
