trade_id,mode,datetime,direction,touch_type,source_label,zone_top,zone_bot,zone_width_ticks,entry_type,entry_price,stop_ticks,t1_ticks,t2_ticks,stop_price,t1_target_price,t2_target_price,leg1_exit_type,leg1_pnl_ticks,leg2_exit_type,leg2_pnl_ticks,weighted_pnl,bars_held,mfe_ticks,mae_ticks
ZB_0044,CT,2/3/2026 15:15:18,LONG,DEMAND_EDGE,15m,25294.25,25234.50,239.0,LIMIT_5T,25284.00,358,120,239,25194.50,25314.00,25343.75,TARGET_1,120.00,TARGET_2,239.00,156.2700,51,244.00,0.00
ZB_0045,CT,2/3/2026 21:52:29,LONG,DEMAND_EDGE,30m,25405.25,25375.75,118.0,LIMIT_5T,25404.00,177,59,118,25359.75,25418.75,25433.50,TARGET_1,59.00,TARGET_2,118.00,75.4700,10,130.00,18.00
ZB_0046,CT,2/4/2026 13:32:37,LONG,DEMAND_EDGE,15m,24873.75,24819.00,219.0,LIMIT_5T,24871.50,328,110,219,24789.50,24899.00,24926.25,TARGET_1,110.00,TARGET_2,219.00,142.9700,44,239.00,77.00
ZB_0047,WTNT,2/4/2026 13:45:18,LONG,DEMAND_EDGE,15m,24873.75,24819.00,219.0,MARKET,24875.50,328,110,219,24793.50,24903.00,24930.25,TARGET_1,110.00,TARGET_2,219.00,142.9700,44,225.00,167.00
ZB_0048,CT,2/4/2026 14:05:11,LONG,DEMAND_EDGE,15m,24873.75,24819.00,219.0,LIMIT_5T,24872.50,328,110,219,24790.50,24900.00,24927.25,TARGET_1,110.00,TARGET_2,219.00,142.9700,47,236.00,35.00
ZB_0049,CT,2/4/2026 16:03:01,LONG,DEMAND_EDGE,15m,24923.50,24863.75,239.0,LIMIT_5T,24922.25,358,120,239,24832.75,24952.25,24982.00,TARGET_1,120.00,TARGET_2,239.00,156.2700,19,256.00,185.00
ZB_0050,WTNT,2/9/2026 16:10:01,SHORT,SUPPLY_EDGE,15m,25392.25,25364.00,113.0,MARKET,25359.00,170,56,113,25401.50,25345.00,25330.75,TARGET_1,56.00,TARGET_2,113.00,71.8100,47,124.00,146.00
ZB_0051,CT,2/10/2026 10:58:31,SHORT,SUPPLY_EDGE,30m,25447.25,25392.50,219.0,LIMIT_5T,25393.75,328,110,219,25475.75,25366.25,25339.00,TARGET_1,110.00,TARGET_2,219.00,142.9700,83,243.00,26.00
ZB_0052,WTNT,2/10/2026 12:27:53,SHORT,SUPPLY_EDGE,15m,25400.25,25375.00,101.0,MARKET,25368.25,152,50,101,25406.25,25355.75,25343.00,TARGET_1,50.00,TARGET_2,101.00,63.8300,85,106.00,118.00
ZB_0053,WTNT,2/12/2026 15:37:36,SHORT,SUPPLY_EDGE,120m,24943.75,24819.00,499.0,MARKET,24819.00,748,250,499,25006.00,24756.50,24694.25,TARGET_1,250.00,TIMECAP,196.00,229.1800,160,390.00,62.00
ZB_0054,WTNT,2/12/2026 16:30:01,SHORT,SUPPLY_EDGE,120m,24943.75,24819.00,499.0,MARKET,24821.50,748,250,499,25008.50,24759.00,24696.75,TARGET_1,250.00,TIMECAP,70.00,187.6000,160,447.00,173.00
ZB_0055,CT,2/13/2026 10:21:51,LONG,DEMAND_EDGE,30m,24743.00,24578.75,657.0,LIMIT_5T,24741.75,986,328,657,24495.25,24823.75,24906.00,TARGET_1,328.00,TARGET_2,657.00,433.5700,81,719.00,67.00
ZB_0056,CT,2/13/2026 16:51:58,LONG,DEMAND_EDGE,90m,24774.50,24578.75,783.0,LIMIT_5T,24773.25,1174,392,783,24479.75,24871.25,24969.00,TARGET_1,392.00,TIMECAP,326.00,367.2200,160,596.00,75.00
ZB_0057,CT,2/18/2026 09:48:15,LONG,DEMAND_EDGE,30m,24832.25,24752.00,321.0,LIMIT_5T,24831.00,482,160,321,24710.50,24871.00,24911.25,TARGET_1,160.00,TARGET_2,321.00,210.1300,75,349.00,156.00
ZB_0058,WTNT,2/20/2026 13:50:11,SHORT,SUPPLY_EDGE,15m,25130.50,25092.50,152.0,MARKET,25074.25,228,76,152,25131.25,25055.25,25036.25,TARGET_1,76.00,TARGET_2,152.00,98.0800,134,158.00,178.00
ZB_0059,CT,2/20/2026 14:55:04,LONG,DEMAND_EDGE,30m,25034.25,24928.00,425.0,LIMIT_5T,25033.00,638,212,425,24873.50,25086.00,25139.25,TIMECAP,117.00,TIMECAP,117.00,114.0000,160,177.00,75.00
ZB_0060,CT,2/24/2026 14:11:02,LONG,DEMAND_EDGE,15m,25015.25,24969.25,184.0,LIMIT_5T,25013.50,276,92,184,24944.50,25036.50,25059.50,TARGET_1,92.00,TARGET_2,184.00,119.3600,85,187.00,100.00
ZB_0061,CT,2/24/2026 15:05:37,LONG,DEMAND_EDGE,15m,25015.25,24969.25,184.0,LIMIT_5T,25014.00,276,92,184,24945.00,25037.00,25060.00,TARGET_1,92.00,TARGET_2,184.00,119.3600,112,190.00,77.00
ZB_0062,CT,2/24/2026 16:05:15,LONG,DEMAND_EDGE,15m,25015.25,24969.25,184.0,LIMIT_5T,25014.00,276,92,184,24945.00,25037.00,25060.00,TARGET_1,92.00,TARGET_2,184.00,119.3600,70,196.00,88.00
ZB_0063,WTNT,2/25/2026 09:16:18,LONG,DEMAND_EDGE,30m,25147.75,25123.75,96.0,MARKET,25150.00,144,48,96,25114.00,25162.00,25174.00,TARGET_1,48.00,TARGET_2,96.00,60.8400,33,100.00,81.00
ZB_0064,WTNT,2/26/2026 15:32:17,SHORT,SUPPLY_EDGE,30m,25099.00,25048.75,201.0,MARKET,25051.50,302,100,201,25127.00,25026.50,25001.25,TIMECAP,-53.00,TIMECAP,-53.00,-56.0000,160,45.00,154.00
ZB_0065,CT,2/26/2026 19:43:23,LONG,DEMAND_EDGE,60m,24966.75,24888.75,312.0,LIMIT_5T,24965.50,468,156,312,24848.50,25004.50,25043.50,TARGET_1,156.00,TARGET_2,312.00,204.4800,81,316.00,43.00
ZB_0066,WTNT,2/27/2026 10:11:30,SHORT,SUPPLY_EDGE,60m,25045.00,24987.50,230.0,MARKET,24984.00,345,115,230,25070.25,24955.25,24926.50,TARGET_1,115.00,TARGET_2,230.00,149.9500,42,235.00,38.00
ZB_0067,WTNT,2/27/2026 10:24:39,SHORT,SUPPLY_EDGE,60m,25045.00,24987.50,230.0,MARKET,24989.00,345,115,230,25075.25,24960.25,24931.50,TARGET_1,115.00,TARGET_2,230.00,149.9500,35,244.00,34.00
ZB_0068,WTNT,2/27/2026 10:37:14,SHORT,SUPPLY_EDGE,60m,25045.00,24987.50,230.0,MARKET,24988.75,345,115,230,25075.00,24960.00,24931.25,TARGET_1,115.00,TARGET_2,230.00,149.9500,83,242.00,114.00
ZB_0069,WTNT,3/2/2026 06:16:02,LONG,DEMAND_EDGE,15m,24636.25,24610.25,104.0,MARKET,24642.00,156,52,104,24603.00,24655.00,24668.00,TARGET_1,52.00,TARGET_2,104.00,66.1600,3,110.00,28.00
