index,cycle,cpp_event,cpp_side,cpp_price,cpp_posqty,cpp_pnl,py_event,py_side,py_price,py_posqty,py_pnl,match,mismatch_detail
151,48,REVERSAL_ENTRY,SHORT,24193.0,1.0,0.0,REVERSAL_ENTRY,SHORT,24191.75,1.0,0.0,TOLERANCE,
152,48,ADD,SHORT,24218.0,-2.0,0.0,ADD,SHORT,24217.25,-2.0,0.0,TOLERANCE,
153,48,REVERSAL,SHORT,24193.0,-2.0,48.0,REVERSAL,SHORT,24192.0,-2.0,50.0,TOLERANCE,
154,49,REVERSAL_ENTRY,LONG,24193.5,1.0,0.0,REVERSAL_ENTRY,LONG,24192.0,1.0,0.0,TOLERANCE,
155,49,ADD,LONG,24168.25,2.0,0.0,ADD,LONG,24166.75,2.0,0.0,TOLERANCE,
156,49,ADD,LONG,24142.75,3.0,0.0,ADD,LONG,24141.5,3.0,0.0,TOLERANCE,
157,49,ADD,LONG,24117.5,4.0,0.0,ADD,LONG,24116.0,4.0,0.0,TOLERANCE,
158,49,REVERSAL,LONG,24143.0,4.0,-53.2,REVERSAL,LONG,24141.25,4.0,-51.2,TOLERANCE,
159,50,REVERSAL_ENTRY,SHORT,24143.0,1.0,0.0,REVERSAL_ENTRY,SHORT,24141.25,1.0,0.0,TOLERANCE,
160,50,REVERSAL,SHORT,24118.0,-1.0,96.0,REVERSAL,SHORT,24116.0,-1.0,101.0,TOLERANCE,
161,51,REVERSAL_ENTRY,LONG,24118.0,1.0,0.0,REVERSAL_ENTRY,LONG,24116.0,1.0,0.0,TOLERANCE,
162,51,ADD,LONG,24093.0,2.0,0.0,ADD,LONG,24090.75,2.0,0.0,TOLERANCE,
163,51,ADD,LONG,24066.5,3.0,0.0,REVERSAL,LONG,24116.0,2.0,50.5,MISMATCH,event:ADD!=REVERSAL; posqty:3!=2
164,51,REVERSAL,LONG,24091.75,3.0,-5.7,MISSING,,,,,MISSING,
165,52,REVERSAL_ENTRY,SHORT,24091.75,1.0,0.0,REVERSAL_ENTRY,SHORT,24116.0,1.0,0.0,PRICE_OFFSET,price_delta=24.25
166,52,REVERSAL,SHORT,24066.75,-1.0,98.0,REVERSAL,SHORT,24090.5,-1.0,102.0,PRICE_OFFSET,price_delta=23.75
167,53,REVERSAL_ENTRY,LONG,24066.75,1.0,0.0,REVERSAL_ENTRY,LONG,24090.5,1.0,0.0,PRICE_OFFSET,price_delta=23.75
168,53,ADD,LONG,24041.0,2.0,0.0,ADD,LONG,24065.25,2.0,0.0,PRICE_OFFSET,price_delta=24.25
169,53,ADD,LONG,24016.0,3.0,0.0,REVERSAL,LONG,24090.75,2.0,51.5,MISMATCH,event:ADD!=REVERSAL; posqty:3!=2
170,53,ADD,LONG,23990.75,4.0,0.0,MISSING,,,,,MISSING,
171,53,REVERSAL,LONG,24015.75,4.0,-53.2,MISSING,,,,,MISSING,
172,54,REVERSAL_ENTRY,SHORT,24015.75,1.0,0.0,REVERSAL_ENTRY,SHORT,24090.75,1.0,0.0,PRICE_OFFSET,price_delta=75.00
173,54,ADD,SHORT,24041.75,-2.0,0.0,REVERSAL,SHORT,24065.5,-1.0,101.0,MISMATCH,event:ADD!=REVERSAL; posqty:-2!=-1
174,54,REVERSAL,SHORT,24016.25,-2.0,48.0,MISSING,,,,,MISSING,
175,55,REVERSAL_ENTRY,LONG,24016.25,1.0,0.0,REVERSAL_ENTRY,LONG,24065.5,1.0,0.0,PRICE_OFFSET,price_delta=49.25
176,55,REVERSAL,LONG,24041.25,1.0,96.0,ADD,LONG,24040.25,2.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:1!=2
177,55,MISSING,,,,,ADD,LONG,24015.0,3.0,0.0,MISSING,
178,55,MISSING,,,,,ADD,LONG,23989.75,4.0,0.0,MISSING,
179,55,MISSING,,,,,REVERSAL,LONG,24015.0,4.0,-50.5,MISSING,
